"LEGACY_SLUG","LEGACY_NAME","LEGACY_PATH","CANONICAL_PLANNING_KEY","CANONICAL_PATH","ALIAS_TYPE","REDIRECT_BEHAVIOR","SEARCH_SYNONYM_DISTINCTION","SPLIT_AMBIGUITY","MANUAL_REVIEW_REQUIRED","SOURCE_ACTION","NOTES"
"market-gida","Market & Gıda","Market & Gıda","CANONICAL-000001","Gıda & İçecek","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME",""
"temel-gida","Temel Gıda","Market & Gıda > Temel Gıda","CANONICAL-000024 || CANONICAL-000032 || CANONICAL-000038 || CANONICAL-000066 || CANONICAL-000072","Gıda & İçecek > Bakliyat, Tahıl & Makarna || Gıda & İçecek > Un, Şeker & Pişirme Malzemeleri || Gıda & İçecek > Yağ & Sirke || Gıda & İçecek > Sos, Baharat & Çeşni || Gıda & İçecek > Konserve & Kavanoz Ürünleri","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"bakliyat","Bakliyat","Market & Gıda > Temel Gıda > Bakliyat","CANONICAL-000026 || CANONICAL-000027 || CANONICAL-000028","Gıda & İçecek > Bakliyat, Tahıl & Makarna > Bakliyat > Mercimek || Gıda & İçecek > Bakliyat, Tahıl & Makarna > Bakliyat > Nohut || Gıda & İçecek > Bakliyat, Tahıl & Makarna > Bakliyat > Kuru Fasulye & Diğer Bakliyat","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"pirinc-bulgur-tahil","Pirinç, Bulgur & Tahıl","Market & Gıda > Temel Gıda > Pirinç, Bulgur & Tahıl","CANONICAL-000029 || CANONICAL-000030","Gıda & İçecek > Bakliyat, Tahıl & Makarna > Pirinç & Bulgur || Gıda & İçecek > Bakliyat, Tahıl & Makarna > Tahıl, Yulaf & Hububat","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
"makarna-eriste","Makarna & Erişte","Market & Gıda > Temel Gıda > Makarna & Erişte","CANONICAL-000031","Gıda & İçecek > Bakliyat, Tahıl & Makarna > Makarna & Erişte","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"un-hamur-isi-malzemeleri","Un & Hamur İşi Malzemeleri","Market & Gıda > Temel Gıda > Un & Hamur İşi Malzemeleri","CANONICAL-000033 || CANONICAL-000035 || CANONICAL-000037","Gıda & İçecek > Un, Şeker & Pişirme Malzemeleri > Unlar || Gıda & İçecek > Un, Şeker & Pişirme Malzemeleri > Maya & Kabartma Ürünleri || Gıda & İçecek > Un, Şeker & Pişirme Malzemeleri > Pasta Süsleme & Dolgu Malzemeleri","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"seker-tuz-baharat","Şeker, Tuz & Baharat","Market & Gıda > Temel Gıda > Şeker, Tuz & Baharat","CANONICAL-000034 || CANONICAL-000070 || CANONICAL-000071","Gıda & İçecek > Un, Şeker & Pişirme Malzemeleri > Şeker & Tatlandırıcılar || Gıda & İçecek > Sos, Baharat & Çeşni > Baharatlar || Gıda & İçecek > Sos, Baharat & Çeşni > Tuz & Çeşni Karışımları","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"sivi-yag-sos-sirke","Sıvı Yağ, Sos & Sirke","Market & Gıda > Temel Gıda > Sıvı Yağ, Sos & Sirke","CANONICAL-000039 || CANONICAL-000043 || CANONICAL-000068 || CANONICAL-000069","Gıda & İçecek > Yağ & Sirke > Yemeklik Yağlar || Gıda & İçecek > Yağ & Sirke > Sirke || Gıda & İçecek > Sos, Baharat & Çeşni > Sofra Sosları || Gıda & İçecek > Sos, Baharat & Çeşni > Yemek & Pişirme Sosları","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"kahvaltilik-sut-urunleri","Kahvaltılık & Süt Ürünleri","Market & Gıda > Kahvaltılık & Süt Ürünleri","CANONICAL-000012 || CANONICAL-000044","Gıda & İçecek > Süt Ürünleri & Yumurta || Gıda & İçecek > Kahvaltılık","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"sut-yogurt","Süt & Yoğurt","Market & Gıda > Kahvaltılık & Süt Ürünleri > Süt & Yoğurt","CANONICAL-000013 || CANONICAL-000014","Gıda & İçecek > Süt Ürünleri & Yumurta > Süt || Gıda & İçecek > Süt Ürünleri & Yumurta > Yoğurt","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
