CAPABILITY,CUSTOMER_DEPENDENCY,MERCHANT_DEPENDENCY,BACKEND_DEPENDENCY,OPS_QA_DEPENDENCY,PILOT_CLASS,OWNER_GATE
Discovery_and_search,Current_customer_core,Accurate_shop_listing,Public_active_reads,Release_and_data_quality,REQUIRED,Taxonomy_UI_release_scope
Seller_comparison,Product_listing_identity,Price_availability_truth,Stable_query_contract,Stale_data_monitoring,REQUIRED,Unknown_availability_wording
Nearby,Permission_safe_location,Shop_coordinates,Request_scoped_distance,Privacy_and_physical_GPS,REQUIRED,Guest_policy_and_location_retention
Cart_V2,Single_shop_customer_state,No_direct_mutation,Current_cart_contract,Regression,REQUIRED,NONE
QR_issue,Customer_cart_and_session,Exact_shop_exists,Opaque_expiring_session,Health_and_cleanup,REQUIRED,NONE
QR_confirm,Customer_waiting_status,Authorized_verifier,Atomic_one_winner_purchase,Two_device_and_incident_runbook,REQUIRED,Verifier_delivery_path
Verified_review,Review_UI,No_merchant_edit,Evidence_and_uniqueness,Moderation_and_regression,REQUIRED,NONE
Shop_listing_maintenance,Customer_projection,Scoped_merchant_editor,Revision_validation_audit,Support_and_security,SHOULD,Merchant_App_vs_controlled_tool
Merchant_onboarding,Shop_visibility,Identity_and_policy_declaration,Membership_or_safe_bridge,Manual_review,SHOULD,Organization_sector_policy
Pilot_monitoring,Consent_safe_client_errors,Merchant_operation_health,Domain_and_release_metrics,Named_oncall_runbook,REQUIRED,Retention_and_tooling
Signed_release,Customer_binary,N_or_controlled_verifier,Exact_environment_contract,Artifact_and_physical_acceptance,REQUIRED,Android_only_vs_iOS
Ads,None,None,None,None,DEFER,Ads_business_model
Reward,None,None,None,None,DEFER,Funding_earning_redemption
Gamification_reputation,None,None,None,None,DEFER,Evidence_fairness_display
