"SCREEN_ID","FEATURE","VIEW","FILE","CUSTOMER_SCOPE","TARGET_WAVE","PRIORITY","CANONICAL_DEPENDENCIES","FUNCTIONAL_INVARIANTS","OWNER_VISUAL_GATE"
"SCR-001","auth","CustomerLaunchGate","lib/features/auth/presentation/views/on_boarding/customer_launch_gate.dart","PRIMARY","2","P0","ScreenShell;StateShell","startup/session/onboarding decision","YES"
"SCR-002","auth","OnBoardingView","lib/features/auth/presentation/views/on_boarding/on_boarding_view.dart","PRIMARY","9","P2","Button;PageIndicator","onboarding persistence and skip","YES"
"SCR-003","auth","LoginView","lib/features/auth/presentation/views/login/login_view.dart","PRIMARY","2","P0","TextField;Button;AuthFormCard","auth errors and return-to-caller","YES"
"SCR-004","auth","SignUpView","lib/features/auth/presentation/views/signup/sign_up_view.dart","PRIMARY","2","P0","TextField;Button;AuthFormCard","signup consent and session flow","YES"
"SCR-005","auth","VerifyEmailView","lib/features/auth/presentation/views/signup/verify_email_view.dart","PRIMARY","9","P1","StateShell;Button","verification callback and resend rules","NO"
"SCR-006","auth","ForgetPasswordView","lib/features/auth/presentation/views/password_configuration/forget_password_view.dart","PRIMARY","9","P1","TextField;Button;StateShell","recovery request","NO"
"SCR-007","auth","InvalidPasswordRecoveryView","lib/features/auth/presentation/views/password_configuration/invalid_password_recovery_view.dart","PRIMARY","9","P1","StateShell;Button","invalid callback handling","NO"
"SCR-008","auth","ResetPasswordView","lib/features/auth/presentation/views/password_configuration/reset_password_view.dart","PRIMARY","9","P1","TextField;Button","reset validation/session","NO"
"SCR-009","auth","UpdatePasswordView","lib/features/auth/presentation/views/password_configuration/update_password_view.dart","PRIMARY","9","P1","TextField;Button","reauth/update behavior","NO"
"SCR-010","auth","KvkkInformationView","lib/features/auth/presentation/views/legal/legal_document_views.dart","PRIMARY","9","P1","DocumentShell","legal text content and scroll","NO"
"SCR-011","auth","TermsOfUseView","lib/features/auth/presentation/views/legal/legal_document_views.dart","PRIMARY","9","P1","DocumentShell","legal text content and scroll","NO"
"SCR-012","shop","HomeView","lib/features/shop/presentation/views/home_view.dart","PRIMARY","3","P0","BottomNav;SearchField;CategoryCard;ProductCard;MerchantCard","guest discovery and location gate","YES"
"SCR-013","shop","NearbyView","lib/features/shop/presentation/views/nearby_view.dart","PRIMARY","9","P1","LocationField;MerchantCard;StateShell","location/login policy and results","YES"
"SCR-014","shop","AllProductsView","lib/features/shop/presentation/views/all_products_view.dart","PRIMARY","4","P0","SearchField;CategoryRow;ProductCard;StateShell","search pagination filters navigation","YES"
"SCR-015","shop","SubCategoryView","lib/features/shop/presentation/views/sub_category_view.dart","PRIMARY","4","P0","Breadcrumb;CategoryRow;ProductCard","dynamic taxonomy depth","YES"
