"L1","L2","L3","L4","LEAF_YN","NODE_STATE","POLICY_CLASS","PRIMARY_DOMAIN","FACET_NOTES","SYNONYM_NOTES","OWNER_DECISION_REQUIRED","PROFESSIONAL_REVIEW_REQUIRED","SOURCE_NOTES"
"Gıda & İçecek","Taze Meyve & Sebze","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Taze Meyve & Sebze","Taze Meyve","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Taze Meyve & Sebze","Taze Sebze","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Taze Meyve & Sebze","Mantar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Taze Meyve & Sebze","Taze Ot & Yeşillik","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","Kırmızı Et","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","Tavuk & Kanatlı","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","Balık & Deniz Ürünleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","Şarküteri Ürünleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Süt Ürünleri & Yumurta","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Süt Ürünleri & Yumurta","Süt","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Süt Ürünleri & Yumurta","Yoğurt","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Süt Ürünleri & Yumurta","Peynir","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Süt Ürünleri & Yumurta","Ayran & Kefir","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Süt Ürünleri & Yumurta","Tereyağı & Krema","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Süt Ürünleri & Yumurta","Yumurta","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","Ekmekler","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","Simit, Poğaça & Börek","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","Kek, Kurabiye & Paketli Unlu Mamuller","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
