"LEGACY_NODE_ID","LEGACY_LEVEL","LEGACY_PARENT_ID","LEGACY_PATH","LEGACY_NAME","LEGACY_SLUG","CURRENT_STATUS","TARGET_L1","TARGET_L2","TARGET_L3","TARGET_L4","TARGET_STATE","RECONCILIATION_ACTION","CONFIDENCE","OWNER_DECISION_REQUIRED","POLICY_FLAG","ALIAS_REQUIRED","SUCCESSOR_COUNT","NOTES"
"market-gida","1","","Market & Gıda","Market & Gıda","market-gida","active","Gıda & İçecek","","","","CANONICAL_FINAL","RENAME","HIGH","NO","","YES","1",""
"temel-gida","2","market-gida","Market & Gıda > Temel Gıda","Temel Gıda","temel-gida","active","Gıda & İçecek","","","","PROVISIONAL_PROPOSAL","SPLIT","MEDIUM","YES","","NO","5","Provisional L2 candidates: Bakliyat, Tahıl & Makarna | Un, Şeker & Pişirme Malzemeleri | Yağ & Sirke | Sos, Baharat & Çeşni | Konserve & Kavanoz Ürünleri"
"bakliyat","3","temel-gida","Market & Gıda > Temel Gıda > Bakliyat","Bakliyat","bakliyat","active","Gıda & İçecek","Bakliyat, Tahıl & Makarna","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"pirinc-bulgur-tahil","3","temel-gida","Market & Gıda > Temel Gıda > Pirinç, Bulgur & Tahıl","Pirinç, Bulgur & Tahıl","pirinc-bulgur-tahil","active","Gıda & İçecek","Bakliyat, Tahıl & Makarna","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"makarna-eriste","3","temel-gida","Market & Gıda > Temel Gıda > Makarna & Erişte","Makarna & Erişte","makarna-eriste","active","Gıda & İçecek","Bakliyat, Tahıl & Makarna","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"un-hamur-isi-malzemeleri","3","temel-gida","Market & Gıda > Temel Gıda > Un & Hamur İşi Malzemeleri","Un & Hamur İşi Malzemeleri","un-hamur-isi-malzemeleri","active","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"seker-tuz-baharat","3","temel-gida","Market & Gıda > Temel Gıda > Şeker, Tuz & Baharat","Şeker, Tuz & Baharat","seker-tuz-baharat","active","Gıda & İçecek","Sos, Baharat & Çeşni","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"sivi-yag-sos-sirke","3","temel-gida","Market & Gıda > Temel Gıda > Sıvı Yağ, Sos & Sirke","Sıvı Yağ, Sos & Sirke","sivi-yag-sos-sirke","active","Gıda & İçecek","Yağ & Sirke","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"kahvaltilik-sut-urunleri","2","market-gida","Market & Gıda > Kahvaltılık & Süt Ürünleri","Kahvaltılık & Süt Ürünleri","kahvaltilik-sut-urunleri","active","Gıda & İçecek","","","","PROVISIONAL_PROPOSAL","SPLIT","MEDIUM","YES","","NO","2","Provisional L2 candidates: Süt Ürünleri & Yumurta | Kahvaltılık"
"sut-yogurt","3","kahvaltilik-sut-urunleri","Market & Gıda > Kahvaltılık & Süt Ürünleri > Süt & Yoğurt","Süt & Yoğurt","sut-yogurt","active","Gıda & İçecek","Süt Ürünleri & Yumurta","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"peynir","3","kahvaltilik-sut-urunleri","Market & Gıda > Kahvaltılık & Süt Ürünleri > Peynir","Peynir","peynir","active","Gıda & İçecek","Süt Ürünleri & Yumurta","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"tereyagi-margarin","3","kahvaltilik-sut-urunleri","Market & Gıda > Kahvaltılık & Süt Ürünleri > Tereyağı & Margarin","Tereyağı & Margarin","tereyagi-margarin","active","Gıda & İçecek","Süt Ürünleri & Yumurta","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"yumurta","3","kahvaltilik-sut-urunleri","Market & Gıda > Kahvaltılık & Süt Ürünleri > Yumurta","Yumurta","yumurta","active","Gıda & İçecek","Süt Ürünleri & Yumurta","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"zeytin","3","kahvaltilik-sut-urunleri","Market & Gıda > Kahvaltılık & Süt Ürünleri > Zeytin","Zeytin","zeytin","active","Gıda & İçecek","Kahvaltılık","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"bal-recel-surulebilir-urunler","3","kahvaltilik-sut-urunleri","Market & Gıda > Kahvaltılık & Süt Ürünleri > Bal, Reçel & Sürülebilir Ürünler","Bal, Reçel & Sürülebilir Ürünler","bal-recel-surulebilir-urunler","active","Gıda & İçecek","Kahvaltılık","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"icecek-atistirmalik","2","market-gida","Market & Gıda > İçecek & Atıştırmalık","İçecek & Atıştırmalık","icecek-atistirmalik","active","Gıda & İçecek","","","","PROVISIONAL_PROPOSAL","SPLIT","MEDIUM","YES","","NO","2","Provisional L2 candidates: Atıştırmalık, Şekerleme & Kuruyemiş | Alkolsüz İçecekler"
"su-maden-suyu","3","icecek-atistirmalik","Market & Gıda > İçecek & Atıştırmalık > Su & Maden Suyu","Su & Maden Suyu","su-maden-suyu","active","Gıda & İçecek","","","","PROVISIONAL_PROPOSAL","UNRESOLVED","LOW","YES","","NO","0","Provisional L2 candidates: Atıştırmalık, Şekerleme & Kuruyemiş | Alkolsüz İçecekler"
"cay-bitki-cayi","3","icecek-atistirmalik","Market & Gıda > İçecek & Atıştırmalık > Çay & Bitki Çayı","Çay & Bitki Çayı","cay-bitki-cayi","active","Gıda & İçecek","Alkolsüz İçecekler","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"kahve-kakao","3","icecek-atistirmalik","Market & Gıda > İçecek & Atıştırmalık > Kahve & Kakao","Kahve & Kakao","kahve-kakao","active","Gıda & İçecek","Alkolsüz İçecekler","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"gazli-icecek-meyve-suyu","3","icecek-atistirmalik","Market & Gıda > İçecek & Atıştırmalık > Gazlı İçecek & Meyve Suyu","Gazlı İçecek & Meyve Suyu","gazli-icecek-meyve-suyu","active","Gıda & İçecek","Alkolsüz İçecekler","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"cikolata-sekerleme","3","icecek-atistirmalik","Market & Gıda > İçecek & Atıştırmalık > Çikolata & Şekerleme","Çikolata & Şekerleme","cikolata-sekerleme","active","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"biskuvi-kraker-kek","3","icecek-atistirmalik","Market & Gıda > İçecek & Atıştırmalık > Bisküvi, Kraker & Kek","Bisküvi, Kraker & Kek","biskuvi-kraker-kek","active","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"cips-patlamis-misir","3","icecek-atistirmalik","Market & Gıda > İçecek & Atıştırmalık > Cips & Patlamış Mısır","Cips & Patlamış Mısır","cips-patlamis-misir","active","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
