"JOURNEY_ID","PERSONA","PRECONDITION","JOURNEY","STEPS","EXPECTED_OUTCOME","NEGATIVE_ASSERTION","TEST_LAYER","OWNER_DECISION","RESULT"
"E2E-001","single-shop owner","online active membership","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","app integration","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-002","technically inexperienced owner","slow interaction and accessibility mode","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","physical/widget","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-003","catalog editor","narrow catalog capability","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","RLS/integration","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-004","QR verifier","narrow QR capability","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","physical/RLS","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-005","multi-branch manager","two authorized shops","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","integration","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-006","revoked staff","stale session and cache","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","security integration","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-007","regulated merchant","policy review pending","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","policy integration","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-008","weak-network merchant","timeout after submit possible","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","resilience integration","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-009","returning merchant","app restart with draft or cached read","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","app integration","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-010","adversarial merchant","forged IDs roles revisions or payload","owner onboarding","authenticate > create draft > shop > sector > location > submit","Authoritative pending or active state per policy","No merchant role from client metadata","security integration","VERIFICATION_POLICY_OPEN","DESIGN_CONTRACT_PASS"
"E2E-011","single-shop owner","online active membership","canonical listing","select shop > search product > choose variant > enter price and availability > submit","One authorized listing with revision","No canonical product field mutation","app integration","CATALOG_ROOTS_OPEN","DESIGN_CONTRACT_PASS"
