EDGE_ID,TEST_GROUP,PRODUCT_SCENARIO,RECOMMENDED_PRIMARY_L1,RECOMMENDED_PRIMARY_L2,ALTERNATIVE_POSSIBLE_OWNER,PLACEMENT_CONFIDENCE,RECOMMENDED_RULE,FACETS_INVOLVED,POLICY_FLAG,RESULT,OWNER_DECISION_REQUIRED,PRIORITY
EDGE-0001,FOOD_BABY_HEALTH,0-6 ay bebek başlangıç maması,Anne & Bebek,Bebek Beslenme,Gıda & İçecek; Sağlık & Medikal,MEDIUM,Bebek yaş evresine özel beslenme ürünü Anne & Bebek'te; satış uygunluğu policy ile yönetilmeli.,yaş evresi; form,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0002,FOOD_BABY_HEALTH,sütlü bebek devam maması,Anne & Bebek,Bebek Beslenme,Gıda & İçecek; Sağlık & Medikal,MEDIUM,Bebek-özel kullanım amacı ürün sahibini belirler.,yaş evresi; alerjen,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0003,FOOD_BABY_HEALTH,bebek tahıllı kaşık maması,Anne & Bebek,Bebek Beslenme,Gıda & İçecek,MEDIUM,Bebek-özel formülasyon generic tahıl rafına taşınmamalı.,yaş evresi; içerik,REGULATED_REVIEW,AMBIGUOUS,YES,P1
EDGE-0004,FOOD_BABY_HEALTH,yetişkin sporcu protein tozu,— (taxonomy gap),— (ingestible supplement gap),Gıda & İçecek; Sağlık & Medikal; Spor & Outdoor,LOW,Takviye/performans beslenmesi için root policy ve ürün evi kararı gerekir.,protein oranı; aroma,REGULATED_REVIEW,MISSING_HOME,YES,P0
EDGE-0005,FOOD_BABY_HEALTH,D vitamini takviyesi,— (taxonomy gap),— (supplement gap),Sağlık & Medikal; Gıda & İçecek,LOW,İlaç olmayan takviyelerin fiziksel ürün evi ayrıca tanımlanmalı.,doz; form,REGULATED_REVIEW,MISSING_HOME,YES,P0
EDGE-0006,FOOD_BABY_HEALTH,oral medikal beslenme içeceği,Sağlık & Medikal,— (medical nutrition L2 gap),Gıda & İçecek,LOW,Medikal amaç iddiası generic içecek sahipliğini geçersiz kılar.,medikal amaç; form,LEGAL_REVIEW_REQUIRED,MISSING_HOME,YES,P0
EDGE-0007,FOOD_BABY_HEALTH,paketli ıhlamur bitki çayı,Gıda & İçecek,Alkolsüz İçecekler,Sağlık & Medikal,HIGH,Normal gıda olarak sunulan bitki çayı içecektir; tedavi iddiası policy konusudur.,bitki türü; form,CLAIM_REVIEW_IF_MEDICAL,CLEAR,NO,P2
EDGE-0008,FOOD_BABY_HEALTH,elektrolit spor içeceği,Gıda & İçecek,Alkolsüz İçecekler,Spor & Outdoor; Sağlık & Medikal,MEDIUM,Spor kullanımı ve elektrolit içeriği facet; medikal amaç yoksa içecek sahibi değişmez.,elektrolit; spor kullanımı,CLAIM_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0009,FOOD_BABY_HEALTH,şekersiz diyabetik etiketli bisküvi,Gıda & İçecek,"Atıştırmalık, Şekerleme & Kuruyemiş",Sağlık & Medikal,MEDIUM,Diyet iddiası facet/policy; fiziksel ürün türü bisküvidir.,şekersiz; beslenme iddiası,CLAIM_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0010,FOOD_BABY_HEALTH,glutensiz kuru makarna,Gıda & İçecek,"Bakliyat, Tahıl & Makarna",Sağlık & Medikal,MEDIUM,Glutensiz facet; makarna primary owner.,glutensiz; içerik,LABEL_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0011,FOOD_BABY_HEALTH,organik çocuk meyve püresi,Anne & Bebek,Bebek Beslenme,Gıda & İçecek,MEDIUM,Açık bebek yaş etiketi Anne & Bebek; organik yalnız facet.,organik; yaş evresi,LABEL_REVIEW,AMBIGUOUS,YES,P1
EDGE-0012,FOOD_BABY_HEALTH,eczane tipi enteral beslenme seti,Sağlık & Medikal,Medikal Sarf & Hasta Bakım Ürünleri,Anne & Bebek; Gıda & İçecek,HIGH,Besinin kendisi değil fiziksel uygulama sarfıdır.,uyumluluk; hacim,REGULATED_REVIEW,CLEAR,NO,P2
EDGE-0013,COSMETICS_HEALTH,dermokozmetik nemlendirici krem,Kozmetik & Kişisel Bakım,Cilt Bakımı,Sağlık & Medikal,MEDIUM,Dermokozmetik satış/iddia sinyali; tedavi amaçlı olmayan krem cilt bakımıdır.,cilt tipi; içerik,CLAIM_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0014,COSMETICS_HEALTH,alkol bazlı antiseptik el jeli,Kozmetik & Kişisel Bakım,Kişisel Hijyen,Sağlık & Medikal,MEDIUM,Biyosidal/medikal ruhsat statüsü sahipliği ve satış policy'sini belirlemeli.,aktif madde; hacim,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0015,COSMETICS_HEALTH,kepek karşıtı kozmetik şampuan,Kozmetik & Kişisel Bakım,Saç Bakımı & Şekillendirme,Sağlık & Medikal,MEDIUM,Kozmetik kepek iddiası facet; ruhsatlı ilaç şampuan ayrı policy.,saç ihtiyacı; içerik,CLAIM_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0016,COSMETICS_HEALTH,ilaç ruhsatlı medikal şampuan,— (policy-gated medicine),—,Kozmetik & Kişisel Bakım; Sağlık & Medikal,MEDIUM,İlaç ürünleri product taxonomy V1 satış kapsamına otomatik alınmamalı.,aktif madde; doz,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0017,COSMETICS_HEALTH,SPF 50 yüz güneş kremi,Kozmetik & Kişisel Bakım,Güneş Bakımı,Sağlık & Medikal,HIGH,Koruyucu kozmetik güneş ürünü açık L2 sahibine gider.,SPF; cilt tipi,LABEL_REVIEW,CLEAR,NO,P2
EDGE-0018,COSMETICS_HEALTH,alkolsüz günlük ağız çalkalama suyu,Kozmetik & Kişisel Bakım,Ağız & Diş Bakımı,Sağlık & Medikal,HIGH,Günlük hijyen ürünü ağız bakımındadır.,alkol; hacim,NONE,CLEAR,NO,P2
EDGE-0019,COSMETICS_HEALTH,beyazlatıcı diş macunu,Kozmetik & Kişisel Bakım,Ağız & Diş Bakımı,Sağlık & Medikal,MEDIUM,Beyazlatma amacı facet/claim; ürün türü diş macunudur.,beyazlatıcı; hassasiyet,CLAIM_REVIEW,FACET_CONFUSION,NO,P2
EDGE-0020,COSMETICS_HEALTH,akne tedavi ettiği iddia edilen serum,Kozmetik & Kişisel Bakım,Cilt Bakımı,Sağlık & Medikal,MEDIUM,Tedavi iddiası satış uygunluğu incelemesi ister; kategori iddiayı meşrulaştırmaz.,aktif içerik; cilt tipi,LEGAL_REVIEW_REQUIRED,POLICY_BLOCKED,YES,P0
EDGE-0021,COSMETICS_HEALTH,bebek şampuanı,Anne & Bebek,"Bebek Banyo, Bakım & Hijyen",Kozmetik & Kişisel Bakım,MEDIUM,Bebek-özel güvenlik/formülasyon sinyali Anne & Bebek primary kuralını gerektirir.,yaş evresi; hassas cilt,LABEL_REVIEW,AMBIGUOUS,YES,P1
EDGE-0022,COSMETICS_HEALTH,yetişkin hassas cilt duş jeli,Kozmetik & Kişisel Bakım,Banyo & Vücut Bakımı,Sağlık & Medikal,HIGH,Hassas cilt facet; günlük duş ürünü değişmez.,cilt tipi; koku,NONE,CLEAR,NO,P2
EDGE-0023,COSMETICS_HEALTH,tek kullanımlık medikal yüz maskesi,Sağlık & Medikal,Kişisel Koruyucu Medikal Ürünler,"Giyim & Moda; Yapı, Hırdavat & Tesisat",MEDIUM,Sertifika ve intended use PPE/medikal sınırını belirler.,standart; koruma sınıfı,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0024,COSMETICS_HEALTH,kozmetik yüz temizleme cihazı,Beyaz Eşya & Ev Aletleri,Elektrikli Kişisel Bakım Cihazları,Kozmetik & Kişisel Bakım,MEDIUM,Elektrikli dayanıklı cihaz appliance; sürülen bakım ürünü kozmetik.,güç; başlık uyumu,NONE,AMBIGUOUS,YES,P1
EDGE-0025,APPAREL_SPORTS_PPE,taraftar futbol forması,Giyim & Moda,Spor & Performans Giyimi,Spor & Outdoor,MEDIUM,"Giyilebilir tekstil Giyim; spor dalı facet, ekipman değildir.",takım; beden; spor,NONE,AMBIGUOUS,YES,P1
EDGE-0026,APPAREL_SPORTS_PPE,teknik kompresyon üstü,Giyim & Moda,Spor & Performans Giyimi,Sağlık & Medikal; Spor & Outdoor,MEDIUM,Performans tekstili Giyim; medikal sertifikalı kompresyon ürünü Sağlık.,kompresyon seviyesi; beden,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0027,APPAREL_SPORTS_PPE,su geçirmez trekking montu,Giyim & Moda,Spor & Performans Giyimi,Spor & Outdoor,MEDIUM,Giyim primary; trekking kullanım facetidir.,su geçirmezlik; beden,NONE,AMBIGUOUS,YES,P1
EDGE-0028,APPAREL_SPORTS_PPE,teknik yürüyüş botu,Ayakkabı,Spor Ayakkabıları,Spor & Outdoor,MEDIUM,Ayakta giyilen ürün Ayakkabı; teknik spor türü facet/L3 olabilir.,zemin; su geçirmezlik,NONE,AMBIGUOUS,YES,P1
EDGE-0029,APPAREL_SPORTS_PPE,krampon futbol ayakkabısı,Ayakkabı,Spor Ayakkabıları,Spor & Outdoor,MEDIUM,Ayakkabı primary; futbol tipi gelecekte leaf/facet.,zemin; numara; spor,NONE,AMBIGUOUS,YES,P1
EDGE-0030,APPAREL_SPORTS_PPE,çelik burun iş güvenliği ayakkabısı,Ayakkabı,İş & Güvenlik Ayakkabıları,"Yapı, Hırdavat & Tesisat",MEDIUM,Ayakkabı-form ürünün primary evi Ayakkabı; PPE sertifikası facet/policy.,koruma standardı; numara,REGULATED_REVIEW,AMBIGUOUS,YES,P1
EDGE-0031,APPAREL_SPORTS_PPE,reflektif iş güvenliği yeleği,"Yapı, Hırdavat & Tesisat",İş Güvenliği & Koruyucu Donanım,Giyim & Moda,MEDIUM,PPE intended use ve standart generic giyimden baskındır.,görünürlük sınıfı; beden,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0032,APPAREL_SPORTS_PPE,kadın yüzme mayosu,Giyim & Moda,Mayo & Plaj Giyimi,Spor & Outdoor,MEDIUM,Giyilebilir mayo Giyim; yarış teknikliği facet/L3 olabilir.,cinsiyet; beden; kullanım,NONE,AMBIGUOUS,YES,P1
