"L1","L2","L3","L4","LEAF_YN","NODE_STATE","POLICY_CLASS","PRIMARY_DOMAIN","FACET_NOTES","SYNONYM_NOTES","OWNER_DECISION_REQUIRED","PROFESSIONAL_REVIEW_REQUIRED","SOURCE_NOTES"
"Ayakkabı","Günlük Ayakkabılar","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Günlük Ayakkabılar","Günlük Sneaker","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Günlük Ayakkabılar","Günlük Bağcıklı Ayakkabılar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Günlük Ayakkabılar","Loafer & Mokasen","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Günlük Ayakkabılar","Babet & Düz Ayakkabılar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Günlük Ayakkabılar","Slip-on & Espadril","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Koşu & Yürüyüş Ayakkabıları","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Koşu & Yürüyüş Ayakkabıları","Koşu Ayakkabıları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Koşu & Yürüyüş Ayakkabıları","Yürüyüş Ayakkabıları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Antrenman & Salon Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Takım Sporu Ayakkabıları","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Takım Sporu Ayakkabıları","Futbol Kramponları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Takım Sporu Ayakkabıları","Basketbol Ayakkabıları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Takım Sporu Ayakkabıları","Diğer Takım Sporu Ayakkabıları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Raket Sporu Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Spor Ayakkabıları","Outdoor & Trekking Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
