"L1","L2","L3","L4","LEAF_YN","NODE_STATE","POLICY_CLASS","PRIMARY_DOMAIN","FACET_NOTES","SYNONYM_NOTES","OWNER_DECISION_REQUIRED","PROFESSIONAL_REVIEW_REQUIRED","SOURCE_NOTES"
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Aktarma Organları","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Aktarma Organları","Aks & Mafsal Parçaları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Aktarma Organları","Debriyaj Parçaları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Aktarma Organları","Şanzıman Parçaları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Egzoz Parçaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Fren Parçaları","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Fren Parçaları","Fren Balataları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Fren Parçaları","Fren Diskleri & Kampanaları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
"Otomotiv & Motosiklet","Otomobil Yedek Parçaları","Fren Parçaları","Fren Mekanizması Parçaları","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Otomotiv & Motosiklet","Otomotiv & Motosiklet candidate facet registry applies; fit, species, material, size, compatibility, claim and eligibility metadata remain outside hierarchy.","Use the controlled synonym registry from the Batch 03 source proposal; synonyms never create eligibility or alternate primary leaves.","YES","YES","Wave 15 Batch 03 proposal; Wave 32 finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A."
