CONCEPT,DATA_OR_ACTION,OWNERSHIP_CLASS,WRITE_AUTHORITY,SOURCE_OF_TRUTH,DERIVED_OR_ANALYTICS,PUBLIC_SCOPE,PILOT_REQUIREMENT
AUTH_USER,credentials_and_sessions,SERVER_AUTHORITATIVE,AUTH_SYSTEM,AUTH_PROVIDER,NO,PRIVATE,REQUIRED
PROFILE,allowed_customer_fields,CUSTOMER_OWNED,CUSTOMER_WITH_DB_GUARD,PROFILE_TABLE,NO,MINIMIZED,REQUIRED
PROFILE,role_or_privilege,SERVER_AUTHORITATIVE,TRUSTED_POLICY_ONLY,MEMBERSHIP_AND_DB_GUARDS,NO,PRIVATE,REQUIRED
CUSTOMER,address_saved_location_wishlist,CUSTOMER_OWNED,CUSTOMER,RLS_PROTECTED_ROWS,NO,PRIVATE,VALUABLE
MERCHANT_ORGANIZATION,identity_and_lifecycle,PLATFORM_GOVERNED,TRUSTED_MERCHANT_WORKFLOW,ORGANIZATION_RECORD,NO,APPROVED_PUBLIC_SUBSET,MINIMUM_FUTURE
MEMBERSHIP_STAFF,shop_scope_and_capabilities,SERVER_AUTHORITATIVE,AUTHORIZED_MEMBERSHIP_COMMAND,MEMBERSHIP_RECORD,NO,PRIVATE,MERCHANT_PATH_REQUIRED
SHOP_BRANCH,customer_visible_profile,MERCHANT_OWNED,ACTIVE_SCOPED_MERCHANT,SHOP_RECORD,NO,PUBLIC_ALLOWLIST,REQUIRED
SHOP_BRANCH,location,MERCHANT_OWNED,ACTIVE_SCOPED_MERCHANT,SHOP_RECORD,NO,COARSE_PUBLIC,REQUIRED
MERCHANT_SECTOR_NODE,node_definition,PLATFORM_OWNED,TAXONOMY_GOVERNANCE,SECTOR_REGISTRY,NO,PUBLIC,ONBOARDING_OPTIONAL
MERCHANT_SECTOR_NODE,merchant_assignment,PLATFORM_GOVERNED,REVIEWED_MERCHANT_WORKFLOW,ASSIGNMENT_HISTORY,NO,PUBLIC_APPROVED_SUBSET,POST_PILOT
TAXONOMY_NODE,node_identity_and_hierarchy,PLATFORM_OWNED,PRODUCT_TAXONOMY_GOVERNANCE,OWNER_FINAL_TAXONOMY,NO,PUBLIC,REQUIRED
CANONICAL_PRODUCT,identity_critical_facts,PLATFORM_OWNED,CATALOG_TRUSTED_WRITER,CANONICAL_CATALOG,NO,PUBLIC_ACTIVE,REQUIRED
CANONICAL_PRODUCT,canonical_media,PLATFORM_OWNED,REVIEWED_MEDIA_WORKFLOW,CANONICAL_MEDIA_RECORD,NO,PUBLIC_ACTIVE,SHOULD_HAVE
VARIANT,choice_bearing_identity,PLATFORM_OWNED,CATALOG_TRUSTED_WRITER,VARIANT_REGISTRY,NO,PUBLIC_ACTIVE,DOMAIN_GATED
SHOP_LISTING,price,MERCHANT_OWNED,EXACT_SHOP_CAPABILITY,LISTING_RECORD,NO,PUBLIC_WHEN_ACTIVE,REQUIRED
SHOP_LISTING,availability_and_freshness,MERCHANT_OWNED,EXACT_SHOP_CAPABILITY,LISTING_RECORD,NO,PUBLIC_WITH_TRUTH_LABEL,REQUIRED
SHOP_LISTING,merchant_sku,MERCHANT_OWNED,EXACT_SHOP_CAPABILITY,LISTING_RECORD,NO,PRIVATE_OR_PUBLIC_APPROVED,SHOULD_HAVE
SHOP_LISTING,listing_media,MERCHANT_OWNED,EXACT_SHOP_MEDIA_CAPABILITY,LISTING_MEDIA_RECORD,NO,PUBLIC_AFTER_POLICY,POST_PILOT
QR_SESSION,issue_and_expiry,SERVER_AUTHORITATIVE,QR_ISSUE_COMMAND,QR_SESSION,NO,PARTICIPANTS_ONLY,REQUIRED
QR_SESSION,consume,SERVER_AUTHORITATIVE,EXACT_SHOP_CONFIRM_COMMAND,ATOMIC_QR_STATE,NO,PARTICIPANTS_ONLY,REQUIRED
VERIFIED_PURCHASE,transaction_and_items,SERVER_AUTHORITATIVE,ATOMIC_QR_CONFIRMATION,VERIFIED_TRANSACTION_ROWS,NO,PARTICIPANTS_MINIMIZED,REQUIRED
REVIEW,content_and_rating,CUSTOMER_OWNED,CUSTOMER_WITH_VERIFIED_ELIGIBILITY,REVIEW_RECORD,NO,PUBLIC_MODERATED,REQUIRED
REVIEW,eligibility_and_aggregate,SERVER_AUTHORITATIVE,REVIEW_EVIDENCE_EVALUATOR,PURCHASE_EVIDENCE_AND_REVIEW_ROWS,DERIVED,BOUNDED_PUBLIC,REQUIRED
AD_CAMPAIGN,campaign_and_budget,FUTURE_MERCHANT_OWNED,SCOPED_CAMPAIGN_COMMAND,CAMPAIGN_LEDGER,NO,DISCLOSURE_ONLY,DEFER
AD_CAMPAIGN,delivery_ranking,SERVER_AUTHORITATIVE,AD_ELIGIBILITY_ENGINE,CAMPAIGN_PLUS_ORGANIC_CONTEXT,DERIVED,DISCLOSED,DEFER
REWARD_EVENT,earn_reverse_redeem,FUTURE_SERVER_AUTHORITATIVE,REWARD_EVALUATOR,IMMUTABLE_REWARD_LEDGER,NO,CUSTOMER_PRIVATE,DEFER
BADGE_REPUTATION_SIGNAL,evidence_signal,FUTURE_SERVER_AUTHORITATIVE,GOVERNED_EVALUATOR,VERIFIED_DOMAIN_EVIDENCE,NO,EXPLAINABLE_SUBSET,DEFER
BADGE_REPUTATION_SIGNAL,display_projection,DERIVED,REPUTATION_PROJECTOR,SIGNAL_REGISTRY,DERIVED,PUBLIC_IF_APPROVED,DEFER
OPS_CASE,case_evidence_and_decision,PLATFORM_OWNED,SCOPED_OPERATOR_CAPABILITY,CASE_AND_AUDIT_RECORD,NO,RESTRICTED,LEAN_REQUIRED
DOMAIN_EVENT,authoritative_fact,SERVER_AUTHORITATIVE,COMMITTED_DOMAIN_WRITER,DOMAIN_STATE_AND_VERSION,NO,NOT_GENERAL_PUBLIC,FOUNDATION_ONLY
ANALYTICS_EVENT,measurement_envelope,ANALYTICS_ONLY,APPROVED_PRODUCER,EVENT_REGISTRY,DERIVED,AGGREGATE_ONLY,MINIMUM_ONLY
AUDIT_EVENT,security_operational_fact,AUDIT,TRUSTED_COMMAND_OR_SYSTEM,AUDIT_LOG,NO,RESTRICTED,REQUIRED_FOR_P0
CUSTOMER_LOCATION,request_precise_location,CUSTOMER_PRIVATE,CUSTOMER_CONSENTED_CLIENT,EPHEMERAL_REQUEST,NO,NEVER_PUBLIC,REQUIRED_FOR_NEARBY
CUSTOMER_LOCATION,coarse_aggregate,ANALYTICS_ONLY,PRIVACY_GOVERNED_PIPELINE,MINIMIZED_DERIVATION,DERIVED,THRESHOLDED,OPTIONAL
CHAT,content,CUSTOMER_OR_PARTICIPANT_OWNED,AUTHORIZED_PARTICIPANTS,CHAT_RECORD,NO,PRIVATE,VALUABLE
NOTIFICATION,recipient_message,SERVER_AUTHORITATIVE,TRUSTED_NOTIFICATION_WRITER,NOTIFICATION_RECORD,NO,PRIVATE,VALUABLE
DEMO_DATA,demo_identity,PLATFORM_OWNED,EXPLICIT_SEED_AUTHORITY,DETERMINISTIC_MANIFEST,NO,PUBLIC_MARKED,PILOT_DECISION
RELEASE_ARTIFACT,binary_identity,PLATFORM_RELEASE,RELEASE_PIPELINE_AND_SIGNER,COMMIT_CONFIG_HASH_SIGNING,NO,PUBLIC_DISTRIBUTABLE,REQUIRED
