ROOT_ID,OPTION,AFFECTED_BRANCH,AFFECTED_DOCUMENT_FAMILY,DEPENDENT_DECISION_IDS,CONTRADICTION_IDS,ROOT_FIX_IDS,AUTO_RESOLVABLE_COUNT,REQUIRES_POLICY_REVIEW,REQUIRES_RUNTIME_LATER,NOTES
"R01","A","origin/agent1/w16-customer-app-commercialization-closeout;origin/agent2/w22-platform-qa-release-engineering-foundation","CUSTOMER_*; QA_*; BACKEND_*","ECO-D001;ECO-D004;ECO-D046;ECO-D047","ECO-C10;ECO-C22","ECO-RF05","4","YES","YES","Android-only pilot; iOS ayrı hazır olduğunda açılır."
"R01","B","origin/agent1/w16-customer-app-commercialization-closeout;origin/agent2/w22-platform-qa-release-engineering-foundation","CUSTOMER_*; QA_*; BACKEND_*","ECO-D001;ECO-D004;ECO-D046;ECO-D047","ECO-C10;ECO-C22","ECO-RF05","4","YES","YES","Android ve iOS aynı anda, ikisi de exact kanıtla açılır."
"R01","C","origin/agent1/w16-customer-app-commercialization-closeout;origin/agent2/w22-platform-qa-release-engineering-foundation","CUSTOMER_*; QA_*; BACKEND_*","ECO-D001;ECO-D004;ECO-D046;ECO-D047","ECO-C10;ECO-C22","ECO-RF05","4","YES","NO","Ticari pilot yerine süresiz araştırma build’leri sürer."
"R02","A","origin/agent1/w16-customer-app-commercialization-closeout;origin/agent3/w20-platform-event-analytics-observability-foundation","CUSTOMER_*; ANALYTICS_*; BACKEND_*","ECO-D002;ECO-D003","","ECO-RF09","2","YES","YES","Nearby login ister; yerel geçmiş tutulmaz."
"R02","B","origin/agent1/w16-customer-app-commercialization-closeout;origin/agent3/w20-platform-event-analytics-observability-foundation","CUSTOMER_*; ANALYTICS_*; BACKEND_*","ECO-D002;ECO-D003","","ECO-RF09","2","YES","YES","Nearby izin güvenli biçimde açıktır; minimum silinebilir cihaz geçmişi tutulur."
"R02","C","origin/agent1/w16-customer-app-commercialization-closeout;origin/agent3/w20-platform-event-analytics-observability-foundation","CUSTOMER_*; ANALYTICS_*; BACKEND_*","ECO-D002;ECO-D003","","ECO-RF09","2","YES","YES","Geniş hesap ve konum geçmişi tutulur."
"R03","A","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent3/w15-global-facet-search-architecture;origin/agent2/w15-legacy-taxonomy-reconciliation-audit","TAXONOMY_*; CATALOG_*; FACET_*; LEGACY_*; BACKEND_*","ECO-D005;ECO-D006;ECO-D007;ECO-D048","ECO-C14","ECO-RF07","4","NO","YES","Tüm taxonomy/facet/legacy/demo yapısı birlikte değiştirilir."
"R03","B","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent3/w15-global-facet-search-architecture;origin/agent2/w15-legacy-taxonomy-reconciliation-audit","TAXONOMY_*; CATALOG_*; FACET_*; LEGACY_*; BACKEND_*","ECO-D005;ECO-D006;ECO-D007;ECO-D048","ECO-C14","ECO-RF07","4","NO","YES","Stable ID ile aşamalı migration ve bağımlılık-aware demo retirement yapılır."
"R03","C","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent3/w15-global-facet-search-architecture;origin/agent2/w15-legacy-taxonomy-reconciliation-audit","TAXONOMY_*; CATALOG_*; FACET_*; LEGACY_*; BACKEND_*","ECO-D005;ECO-D006;ECO-D007;ECO-D048","ECO-C14","ECO-RF07","4","NO","NO","Mevcut yapı süresiz dondurulur."
"R04","A","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent3/w15-global-facet-search-architecture","CATALOG_*; BACKEND_*; FACET_*","ECO-D008;ECO-D009;ECO-D010","ECO-C03","ECO-RF02","3","YES","YES","Product ve Listing kullanılır; explicit Variant yoktur."
"R04","B","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent3/w15-global-facet-search-architecture","CATALOG_*; BACKEND_*; FACET_*","ECO-D008;ECO-D009;ECO-D010","ECO-C03","ECO-RF02","3","YES","YES","Product + domain-gated Variant + ayrı Listing ve evidence-based identifier kullanılır."
"R04","C","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent3/w15-global-facet-search-architecture","CATALOG_*; BACKEND_*; FACET_*","ECO-D008;ECO-D009;ECO-D010","ECO-C03","ECO-RF02","3","YES","YES","Her domain için universal Variant ve blind barcode eşleşmesi kullanılır."
"R05","A","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation","CATALOG_*; MERCHANT_*; BACKEND_*; STORAGE_*","ECO-D011;ECO-D012;ECO-D015","ECO-C11;ECO-C23","ECO-RF02;ECO-RF12","3","YES","YES","Merchant verisi doğrudan public canonical olur."
"R05","B","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation","CATALOG_*; MERCHANT_*; BACKEND_*; STORAGE_*","ECO-D011;ECO-D012;ECO-D015","ECO-C11;ECO-C23","ECO-RF02;ECO-RF12","3","YES","YES","Governed candidate, gated measure ve reviewed media promotion kullanılır."
"R05","C","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation","CATALOG_*; MERCHANT_*; BACKEND_*; STORAGE_*","ECO-D011;ECO-D012;ECO-D015","ECO-C11;ECO-C23","ECO-RF02;ECO-RF12","3","YES","NO","Merchant catalog katkısı tamamen kapatılır."
"R06","A","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent1/w16-customer-app-commercialization-closeout","CATALOG_*; BACKEND_*; CUSTOMER_*; REVIEW_*","ECO-D013;ECO-D014","ECO-C05","ECO-RF04","2","YES","YES","Eski referanslar yeniden yazılır veya silinir."
"R06","B","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent1/w16-customer-app-commercialization-closeout","CATALOG_*; BACKEND_*; CUSTOMER_*; REVIEW_*","ECO-D013;ECO-D014","ECO-C05","ECO-RF04","2","YES","YES","Immutable lineage korunur; collision ve ambiguity açık yönetilir."
"R06","C","origin/agent3/w16-canonical-product-catalog-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent1/w16-customer-app-commercialization-closeout","CATALOG_*; BACKEND_*; CUSTOMER_*; REVIEW_*","ECO-D013;ECO-D014","ECO-C05","ECO-RF04","2","YES","NO","Catalog correction tamamen yasaklanır."
