"TERM_ID","TERM","TERM_TYPE","EXPECTED_L1","EXPECTED_L2","CANONICAL_NODE_STATE","AMBIGUOUS","ALTERNATIVE_DOMAIN","NOTES"
"TERM-000001","Taze Meyve & Sebze","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Taze Meyve & Sebze","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000002","manav","SEARCH_SYNONYM","Gıda & İçecek","Taze Meyve & Sebze","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000003","meyve sebze","SEARCH_SYNONYM","Gıda & İçecek","Taze Meyve & Sebze","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000004","yeşillik","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Taze Meyve & Sebze","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000005","Taze Meyve","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Taze Meyve & Sebze","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000006","Et, Tavuk, Balık & Şarküteri","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000007","kasap","SEARCH_SYNONYM","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000008","et ürünleri","SEARCH_SYNONYM","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000009","deniz mahsulü","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000010","şarküteri","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000011","Süt Ürünleri & Yumurta","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Süt Ürünleri & Yumurta","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000012","mandıra","SEARCH_SYNONYM","Gıda & İçecek","Süt Ürünleri & Yumurta","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000013","süt mamulleri","SEARCH_SYNONYM","Gıda & İçecek","Süt Ürünleri & Yumurta","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000014","peynir","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Süt Ürünleri & Yumurta","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000015","yoğurt","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Süt Ürünleri & Yumurta","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000016","Ekmek, Unlu Mamuller & Pastacılık","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000017","fırın","SEARCH_SYNONYM","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000018","pastane","SEARCH_SYNONYM","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
