"PLANNING_KEY","L1_NAME","L2_NAME","L3_NAME","L4_NAME","LEVEL","LEAF_YN","PARENT_PLANNING_KEY","CANONICAL_STATE","POLICY_CLASS","PROFESSIONAL_REVIEW_REQUIRED","ASSIGNABLE_YN","ACTIVE_CANDIDATE_YN","SOURCE","LEGACY_PREDECESSOR_COUNT","NOTES"
"CANONICAL-000001","Gıda & İçecek","","","","L1","NO","","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/ESNAFTAVAR_CANONICAL_CATEGORY_TAXONOMY.md","1","Canonical L1 root; never product-assignable; pilot activation requires at least one eligible descendant and a separate runtime decision."
"CANONICAL-000002","Gıda & İçecek","Taze Meyve & Sebze","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000003","Gıda & İçecek","Taze Meyve & Sebze","Taze Meyve","","L3","YES","CANONICAL-000002","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000004","Gıda & İçecek","Taze Meyve & Sebze","Taze Sebze","","L3","YES","CANONICAL-000002","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000005","Gıda & İçecek","Taze Meyve & Sebze","Mantar","","L3","YES","CANONICAL-000002","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","0","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000006","Gıda & İçecek","Taze Meyve & Sebze","Taze Ot & Yeşillik","","L3","YES","CANONICAL-000002","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","0","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000007","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000008","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","Kırmızı Et","","L3","YES","CANONICAL-000007","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000009","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","Tavuk & Kanatlı","","L3","YES","CANONICAL-000007","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000010","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","Balık & Deniz Ürünleri","","L3","YES","CANONICAL-000007","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000011","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","Şarküteri Ürünleri","","L3","YES","CANONICAL-000007","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000012","Gıda & İçecek","Süt Ürünleri & Yumurta","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000013","Gıda & İçecek","Süt Ürünleri & Yumurta","Süt","","L3","YES","CANONICAL-000012","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000014","Gıda & İçecek","Süt Ürünleri & Yumurta","Yoğurt","","L3","YES","CANONICAL-000012","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000015","Gıda & İçecek","Süt Ürünleri & Yumurta","Peynir","","L3","YES","CANONICAL-000012","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000016","Gıda & İçecek","Süt Ürünleri & Yumurta","Ayran & Kefir","","L3","YES","CANONICAL-000012","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","0","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000017","Gıda & İçecek","Süt Ürünleri & Yumurta","Tereyağı & Krema","","L3","YES","CANONICAL-000012","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000018","Gıda & İçecek","Süt Ürünleri & Yumurta","Yumurta","","L3","YES","CANONICAL-000012","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000019","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000020","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","Ekmekler","","L3","YES","CANONICAL-000019","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000021","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","Simit, Poğaça & Börek","","L3","YES","CANONICAL-000019","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000022","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","Kek, Kurabiye & Paketli Unlu Mamuller","","L3","YES","CANONICAL-000019","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000023","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","Pasta & Pastane Tatlıları","","L3","YES","CANONICAL-000019","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","REGULATED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
