MERCHANT_SECTOR,MERCHANT_STATE,LIKELY_PRIMARY_PRODUCT_L1,OTHER_COMMON_PRODUCT_L1,COMMON_PRODUCT_L2,SERVICE_COMPONENT,CROSS_DOMAIN_MIX_EXPECTED,RESTRICTION_NOTES,CONFIDENCE
"Market, Bakkal & Süpermarket",PROPOSED,"Gıda & İçecek","Kozmetik & Kişisel Bakım; Ev & Yaşam; Kırtasiye & Ofis; Evcil Hayvan Ürünleri","Alkolsüz İçecekler; Atıştırmalık, Şekerleme & Kuruyemiş; Ev Temizliği & Çamaşır Bakımı",Teslimat/paketleme olabilir,TRUE,"Alkol/tütün ve restricted products inferred değildir; food registration ayrı",HIGH
Kasap,PROPOSED,"Gıda & İçecek",,"Et, Tavuk, Balık & Şarküteri",Hazırlama/paketleme,FALSE,"Food approval/registration ve cold-chain ayrı gate",HIGH
Şarküteri,PROPOSED,"Gıda & İçecek",,"Et, Tavuk, Balık & Şarküteri; Süt Ürünleri & Yumurta; Kahvaltılık",Dilimleme/paketleme,FALSE,"Food registration/cold-chain",HIGH
Manav,PROPOSED,"Gıda & İçecek","Çiçek & Bahçe","Taze Meyve & Sebze",Ayıklama/paketleme,TRUE,"Hasat edilmiş gıda ile canlı bitki ayrılır",HIGH
Fırın,PROPOSED,"Gıda & İçecek",,"Ekmek, Unlu Mamuller & Pastacılık",Üretim/hazırlama,FALSE,"Food registration and premises evidence",HIGH
"Pastane & Tatlıcı",PROPOSED,"Gıda & İçecek","Hediyelik & Parti","Ekmek, Unlu Mamuller & Pastacılık",Siparişe hazırlama/üretim,TRUE,"Catering/organizasyon service otomatik dahil değildir",HIGH
Kuruyemişçi,PROPOSED,"Gıda & İçecek",,"Atıştırmalık, Şekerleme & Kuruyemiş",Kavurma/paketleme,FALSE,"Food registration and label controls",HIGH
Aktar,PROPOSED,"Gıda & İçecek","Kozmetik & Kişisel Bakım; Sağlık & Medikal","Sos, Baharat & Çeşni; Alkolsüz İçecekler",Karışım/paketleme,TRUE,"Supplement/medical/biosidal claims fail closed",MEDIUM
"İçecek & Su Bayii",PROPOSED,"Gıda & İçecek",,"Alkolsüz İçecekler",Damacana teslimatı,FALSE,"Alkol inferred değildir",HIGH
Giyim Mağazası,PROPOSED,"Giyim & Moda","Ayakkabı; Çanta & Aksesuar; Saat & Takı","Üst Giyim; Alt Giyim; Dış Giyim; Ev & Uyku Giyimi",Tadilat olabilir,TRUE,"PPE claims ayrı",HIGH
