sourceKey,sourceWave,sourceBranch,sourceHead,sourceDocument,sourceDecisionId,question,priority,classification,masterRootId,masterRootTitle,ownerTiming,professionalRoute,notes
W23-ECO-D001,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D001,"Android-only pilot mi, Android+iOS eşzamanlı mı?",P0,CHILD_OF_EXISTING_ROOT,OM-R04,"Pilot platformu, exact artifact ve kabul kanıtı",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D002,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D002,Nearby guest mı login-gated mı?,P1,CHILD_OF_EXISTING_ROOT,OM-R05,"Customer erişimi, konum, yerel geçmiş ve AuthGuard",OWNER_CAN_DECIDE_PROVISIONALLY,KVKK,Semantic mapping; no option selected
W23-ECO-D003,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D003,Recent search/chat draft ne kadar device-local tutulur?,P1,CHILD_OF_EXISTING_ROOT,OM-R05,"Customer erişimi, konum, yerel geçmiş ve AuthGuard",OWNER_CAN_DECIDE_PROVISIONALLY,KVKK,Semantic mapping; no option selected
W23-ECO-D004,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D004,Final UI/accessibility fiziksel kabulü pilot gate mi?,P1,CHILD_OF_EXISTING_ROOT,OM-R04,"Pilot platformu, exact artifact ve kabul kanıtı",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D005,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D005,Owner-final Product Taxonomy V1 runtime’a ne zaman alınır?,P0,CHILD_OF_EXISTING_ROOT,OM-R06,"Taxonomy, facet, legacy ve demo aktivasyonu",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D006,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D006,Global facets/synonyms pilotta ne kadar açılır?,P1,CHILD_OF_EXISTING_ROOT,OM-R06,"Taxonomy, facet, legacy ve demo aktivasyonu",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D007,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D007,651 legacy node reconciliation ne zaman uygulanır?,P1,CHILD_OF_EXISTING_ROOT,OM-R06,"Taxonomy, facet, legacy ve demo aktivasyonu",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D008,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D008,Canonical identity product family/variant/listing nasıl ayrılır?,P0,CHILD_OF_EXISTING_ROOT,OM-R07,"Product, Variant, Listing ve identifier kimliği",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D009,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D009,Hangi domainlerde explicit variant V1 zorunlu?,P0,CHILD_OF_EXISTING_ROOT,OM-R07,"Product, Variant, Listing ve identifier kimliği",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D010,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D010,GTIN/no-barcode auto-link sınırı nedir?,P1,CHILD_OF_EXISTING_ROOT,OM-R07,"Product, Variant, Listing ve identifier kimliği",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
