sourceKey,sourceWave,sourceDecisionId,masterRootId,rootState,classification,applyAfter,blocks,autoResolves,professionalRoute,ownerAction,applyTarget,optionSelected
W23-ECO-D001,Wave 23,ECO-D001,OM-R04,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R31,UI-R15 acceptance evidence detail; CI vendor choice,NONE,INHERITS_ROOT_FINAL_A,"OM-R04 — Pilot platformu, exact artifact ve kabul kanıtı",A
W23-ECO-D002,Wave 23,ECO-D002,OM-R05,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R17,UI-R06 AuthGuard implementation copy after access rule,KVKK,INHERITS_ROOT_FINAL_A,"OM-R05 — Customer erişimi, konum, yerel geçmiş ve AuthGuard",A
W23-ECO-D003,Wave 23,ECO-D003,OM-R05,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R17,UI-R06 AuthGuard implementation copy after access rule,KVKK,INHERITS_ROOT_FINAL_A,"OM-R05 — Customer erişimi, konum, yerel geçmiş ve AuthGuard",A
W23-ECO-D004,Wave 23,ECO-D004,OM-R04,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R31,UI-R15 acceptance evidence detail; CI vendor choice,NONE,INHERITS_ROOT_FINAL_A,"OM-R04 — Pilot platformu, exact artifact ve kabul kanıtı",A
W23-ECO-D005,Wave 23,ECO-D005,OM-R06,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08,NONE,NONE,INHERITS_ROOT_FINAL_B,"OM-R06 — Taxonomy, facet, legacy ve demo aktivasyonu",B
W23-ECO-D006,Wave 23,ECO-D006,OM-R06,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08,NONE,NONE,INHERITS_ROOT_FINAL_B,"OM-R06 — Taxonomy, facet, legacy ve demo aktivasyonu",B
W23-ECO-D007,Wave 23,ECO-D007,OM-R06,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08,NONE,NONE,INHERITS_ROOT_FINAL_B,"OM-R06 — Taxonomy, facet, legacy ve demo aktivasyonu",B
W23-ECO-D008,Wave 23,ECO-D008,OM-R07,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08;OM-R12;OM-R13;OM-R26,catalog merge/split lineage engineering invariant,NONE,INHERITS_ROOT_FINAL_B,"OM-R07 — Product, Variant, Listing ve identifier kimliği",B
W23-ECO-D009,Wave 23,ECO-D009,OM-R07,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08;OM-R12;OM-R13;OM-R26,catalog merge/split lineage engineering invariant,NONE,INHERITS_ROOT_FINAL_B,"OM-R07 — Product, Variant, Listing ve identifier kimliği",B
W23-ECO-D010,Wave 23,ECO-D010,OM-R07,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08;OM-R12;OM-R13;OM-R26,catalog merge/split lineage engineering invariant,NONE,INHERITS_ROOT_FINAL_B,"OM-R07 — Product, Variant, Listing ve identifier kimliği",B
