"ROOT_ID","OPTION","AFFECTED_SCREEN","AFFECTED_COMPONENT","AFFECTED_FLUTTER_FILES","AFFECTED_FIGMA_AREA","DEPENDENT_DECISIONS","AUTO_RESOLVABLE_COUNT","REQUIRES_VISUAL_REVIEW","REQUIRES_PHYSICAL_ARTIFACT_REVIEW","NOTES"
"UI-R01","A","All Customer screens","Semantic tokens;Button;BottomNav;Status","lib/core/utils/theme/theme.dart;lib/core/utils/constants/colors.dart;lib/core/utils/constants/customer_home_v1_tokens.dart","EsnaftaVar Tokens V1;Components V1;Critical Screens V1","UI-R03;UI-R07;UI-R08;UI-R11;UI-R15","2","YES","YES","Teal/green primary and terracotta accent; reconcile current Wave 14 role order"
"UI-R01","B","All Customer screens","Semantic tokens;Button;BottomNav;Status","lib/core/utils/theme/theme.dart;lib/core/utils/constants/colors.dart;lib/core/utils/constants/customer_home_v1_tokens.dart","EsnaftaVar Tokens V1;Components V1;Critical Screens V1","UI-R03;UI-R07;UI-R08;UI-R11;UI-R15","2","YES","YES","Retain Wave 14 terracotta primary and teal accent"
"UI-R01","C","All Customer screens","Semantic tokens;Button;BottomNav;Status","lib/core/utils/theme/theme.dart;lib/core/utils/constants/colors.dart;lib/core/utils/constants/customer_home_v1_tokens.dart","EsnaftaVar Tokens V1;Components V1;Critical Screens V1","UI-R03;UI-R07;UI-R08;UI-R11;UI-R15","2","YES","YES","New warm palette exploration blocks final tokens and screenshots"
"UI-R02","A","All Customer screens","ThemeData;all themed primitives","lib/t_store.dart;lib/core/utils/theme/theme.dart","Token modes;all critical frames","UI-R01;UI-R15","1","YES","YES","Explicit light-only pilot; dark mode scheduled separately"
"UI-R02","B","All Customer screens","ThemeData;all themed primitives","lib/t_store.dart;lib/core/utils/theme/theme.dart;lib/core/utils/theme/widget_themes","Light and dark token/component/frame variants","UI-R01;UI-R15","1","YES","YES","Complete both modes before pilot; doubles major acceptance dimensions"
"UI-R02","C","All Customer screens","ThemeData;legacy dark widgets","lib/t_store.dart;lib/core/utils/theme/theme.dart","Mixed current dark and final light areas","UI-R01;UI-R15","1","YES","YES","Retains inconsistent legacy dark mode; not recommended for final UI"
"UI-R03","A","Home;Listing;Product Details;Seller Comparison","Search;CategoryCard;ProductCard;SellerPriceRow","lib/features/shop/presentation/views/home_view.dart;lib/features/shop/presentation/views/all_products_view.dart;lib/features/shop/presentation/views/sub_category_view.dart;lib/features/shop/presentation/views/product_details_view.dart;lib/features/shop/presentation/widgets/product_sellers_section.dart","Critical Screens V1 sections 01-03","UI-R01;UI-R07;UI-R08;UI-R10;UI-R15","3","YES","YES","Use current direction only after every C1 row is inspected"
"UI-R03","B","Home;Listing;Product Details;Seller Comparison","Search;CategoryCard;ProductCard;SellerPriceRow","lib/features/shop/presentation/views/home_view.dart;lib/features/shop/presentation/views/all_products_view.dart;lib/features/shop/presentation/views/sub_category_view.dart;lib/features/shop/presentation/views/product_details_view.dart;lib/features/shop/presentation/widgets/product_sellers_section.dart","Critical Screens V1 sections 01-03","UI-R01;UI-R07;UI-R08;UI-R10;UI-R15","3","YES","YES","Bounded revisions require revised immutable frames before Flutter mapping"
"UI-R03","C","Home;Listing;Product Details;Seller Comparison","All critical discovery/product families","lib/features/shop/presentation/views/home_view.dart;lib/features/shop/presentation/views/all_products_view.dart;lib/features/shop/presentation/views/sub_category_view.dart;lib/features/shop/presentation/views/product_details_view.dart;lib/features/shop/presentation/widgets/product_sellers_section.dart","Replacement critical-screen direction","UI-R01;UI-R07;UI-R08;UI-R10;UI-R15","3","YES","YES","Replacement direction restarts screen mapping and delays Waves 3-5"
"UI-R04","A","Shop Details","MerchantHeader;Button;MerchantCard;ProductCard","lib/features/shop/presentation/views/shop_profile_view.dart","Critical Screens V1 / Shop Details","UI-R01;UI-R03;UI-R07;UI-R15","1","YES","YES","Directions/physical visit primary; products core; chat secondary"
"UI-R04","B","Shop Details","MerchantHeader;Button;ProductCard","lib/features/shop/presentation/views/shop_profile_view.dart","Critical Screens V1 / Shop Details","UI-R01;UI-R03;UI-R07;UI-R15","1","YES","YES","Shop products become primary and visit intent loses prominence"
"UI-R04","C","Shop Details","MerchantHeader;Button;Chat action","lib/features/shop/presentation/views/shop_profile_view.dart","Critical Screens V1 / Shop Details","UI-R01;UI-R03;UI-R06;UI-R15","1","YES","YES","Chat becomes primary and increases auth-gated prominence"
"UI-R05","A","Cart V2;QR session","CartShopHeader;CartItem;ConflictState;QRSheet","lib/features/shop/presentation/views/cart_v2_view.dart;lib/features/cart/presentation/widgets/cart_qr_session_bottom_sheet.dart","Critical Screens V1 / Cart V2 states","UI-R01;UI-R03;UI-R10;UI-R15","1","YES","YES","Physical shopping preparation with estimated total and QR education"
"UI-R05","B","Cart V2;QR session","CartShopHeader;CartItem;QRSheet","lib/features/shop/presentation/views/cart_v2_view.dart;lib/features/cart/presentation/widgets/cart_qr_session_bottom_sheet.dart","Critical Screens V1 / Cart V2 states","UI-R01;UI-R03;UI-R10;UI-R15","1","YES","YES","Generic basket presentation weakens local-commerce explanation"
"UI-R05","C","Cart V2;QR session","Checkout-like step components","lib/features/shop/presentation/views/cart_v2_view.dart;lib/features/cart/presentation/widgets/cart_qr_session_bottom_sheet.dart","Replacement Cart/checkout-like frames","UI-R01;UI-R03;UI-R15","1","YES","YES","Contradicts canonical no-checkout product model"
"UI-R06","A","Protected tabs/actions;Login","AuthGuard;BottomNav;Button;AuthFormCard","lib/core/common/widgets/navigation_menu.dart;lib/core/common/widgets/customer_bottom_navigation.dart;lib/features/auth/presentation/views/login/login_view.dart","Guest AuthGuard frame;Auth frames","UI-R01;UI-R03;UI-R15","1","YES","YES","Contextual explanation then existing login; preserve cancel/resume"
"UI-R06","B","Protected tabs/actions;Login","BottomNav;AuthFormCard","lib/core/common/widgets/navigation_menu.dart;lib/core/common/widgets/customer_bottom_navigation.dart;lib/features/auth/presentation/views/login/login_view.dart","Direct-login transition","UI-R01;UI-R03;UI-R15","1","YES","YES","Silent redirect is simpler but loses protected-action context"
"UI-R06","C","Cart;Wishlist;Chat;Review;Location","Multiple feature-specific auth gates","lib/core/common/widgets/navigation_menu.dart;lib/features/auth/presentation/views/login/login_view.dart;affected feature views","Multiple feature-specific auth areas","UI-R01;UI-R03;UI-R15","1","YES","YES","Duplicates auth presentation and expands regression surface"
